taxonID,description,type,language
ad-hoc-checklist:taxon:04f0fa33aab56bd2c92b381eeda83b7b,Asia,native range,en
ad-hoc-checklist:taxon:0bcd26f38390fe99c643104b28217c02,Africa,native range,en
ad-hoc-checklist:taxon:0bd36fa88a3080c7e98593020f71fb91,Southern Asia,native range,en
ad-hoc-checklist:taxon:0c00a7f95bf886620aaf230ef19c4702,cosmopolitan,native range,en
ad-hoc-checklist:taxon:0c166dc873f97eab93817203eac24df6,Asia,native range,en
ad-hoc-checklist:taxon:0cf152a392bb98b8dca84f219e8099f5,Cape Verde Is.,native range,en
ad-hoc-checklist:taxon:0cf152a392bb98b8dca84f219e8099f5,Africa,native range,en
ad-hoc-checklist:taxon:0cf152a392bb98b8dca84f219e8099f5,Madagascar,native range,en
ad-hoc-checklist:taxon:0cf152a392bb98b8dca84f219e8099f5,Comoros,native range,en
ad-hoc-checklist:taxon:0e0462e484d3f0bbb46899c33a86728e,Australia,native range,en
ad-hoc-checklist:taxon:10b25b3a18eaac42cac983b0ad76cf5b,Africa,native range,en
ad-hoc-checklist:taxon:10b25b3a18eaac42cac983b0ad76cf5b,Asia,native range,en
ad-hoc-checklist:taxon:10eddc4a0f489767d644ad73a2551805,Southeast Asia,native range,en
ad-hoc-checklist:taxon:13804ff422c60a29bcdec99bf90e6a6b,Southern Asia,native range,en
ad-hoc-checklist:taxon:163341620b597b184210c02024ddb74e,Bolivia,native range,en
ad-hoc-checklist:taxon:163341620b597b184210c02024ddb74e,Chile,native range,en
ad-hoc-checklist:taxon:163341620b597b184210c02024ddb74e,Argentina,native range,en
ad-hoc-checklist:taxon:164b5379d3a5474bbc46a2b412e7c4b8,Africa,native range,en
ad-hoc-checklist:taxon:16b68bf0f56a690b763ce5d4252d9112,North America,native range,en
ad-hoc-checklist:taxon:173853858071ce0d5c9852c9199a45e0,Central America,native range,en
ad-hoc-checklist:taxon:173853858071ce0d5c9852c9199a45e0,South America,native range,en
ad-hoc-checklist:taxon:17ac6361b3856c9e3969b996536956c0,mediterranean,native range,en
ad-hoc-checklist:taxon:17d369e9c1242ea84a1eb4619371f3f4,Tropical Asia,native range,en
ad-hoc-checklist:taxon:19bb4852670d1077cb54b1fabb7a46d8,Africa,native range,en
ad-hoc-checklist:taxon:1a01ace56d7703eac736da8647d74a4a,Europe,native range,en
ad-hoc-checklist:taxon:1ac9568bc799861c6e8be58c55f3db9c,America,native range,en
ad-hoc-checklist:taxon:1b988f861a719376564d0cfd37c14c39,North America,native range,en
ad-hoc-checklist:taxon:1ec101c30e77e89cfd06a81f284b2e8d,Europe to Azerbaijan,native range,en
ad-hoc-checklist:taxon:1ec101c30e77e89cfd06a81f284b2e8d,Egypt,native range,en
ad-hoc-checklist:taxon:1ef46b04926b945e9a385a21f1e3c8ec,Canary Is. to Turkey,native range,en
ad-hoc-checklist:taxon:1f84bf295d56bbb2c32cfb0af34a1287,Mediterranean,native range,en
ad-hoc-checklist:taxon:21004d75bf5dc504406ab6d514d82757,Temperate Asia,native range,en
ad-hoc-checklist:taxon:246d6fa8692126881dbd6aa3fcf5f0a1,mediterranean,native range,en
ad-hoc-checklist:taxon:24d4a2b0a38490cb84695fc57036b473,Southern Europe,native range,en
ad-hoc-checklist:taxon:2772197eb7786a8da331440c09e79155,Australia,native range,en
ad-hoc-checklist:taxon:292a4951cbdd8cc0118e5d53af1ed84e,Asia,native range,en
ad-hoc-checklist:taxon:2a57b5e6ede563a0ccf6a9d83d599c2d,Europe,native range,en
ad-hoc-checklist:taxon:2afa7ada35e7ffa8f23de43c9ff60a06,North America,native range,en
