"taxonID","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate","source"
"ad-hoc-checklist:taxon:0012c46e1094e0e379872a11616cde07","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:0030ea29e5c1ca033fbae652defa7585","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2009/2009",
"ad-hoc-checklist:taxon:009a39b7eb1c59c7239435505abe5138","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:020219a654572d7e5657d80008770ea0","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:024ab15f50739b793e17774229cda610","ISO_3166-2:BE","Belgium","BE","doubtful","introduced","1905-04-16/1905-04-22",
"ad-hoc-checklist:taxon:03a84684d07f7ee01dce88b3102c1a14","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2013/2016",
"ad-hoc-checklist:taxon:0401971e5efc564db7f6141fdc2c0e9e","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1986/1987",
"ad-hoc-checklist:taxon:0456b9f01c551baee57c69773e09bb3c","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2013/2013",
"ad-hoc-checklist:taxon:0539430ed39d6e753ca3ba80cf5b2504","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:093fe2efe8c2ffa5a41bbf1009bb2807","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:09a2e0b97a210cd1eea5183191b788c3","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2004/2017","http://www.hylawerkgroep.be/files/0048/hyla_flits_017_censuur.pdf"
"ad-hoc-checklist:taxon:0a5e52ef41cb47fb06b0344f5be9bf3c","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1986/1986",
"ad-hoc-checklist:taxon:0ad501c890258f06d6997b70515ccb28","ISO_3166-2:BE","Belgium","BE","present","introduced","1894-06/2018",
"ad-hoc-checklist:taxon:0b6ceb6e80f3bb59484ab7a6454e8aff","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2008/2018",
"ad-hoc-checklist:taxon:1014f2375f0bd0c05dea83978a00caf7","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2000/2016",
"ad-hoc-checklist:taxon:1594fcfc956bf2c528be473301fabec2","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2017/2018",
"ad-hoc-checklist:taxon:167dc8db81d231cb35982c239dc3e16f","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2004/2011",
"ad-hoc-checklist:taxon:1781ab184e6d425bc0e73d15cb986a2c","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2006/2018","http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf"
"ad-hoc-checklist:taxon:1816c335ef2b6674cf46fa1c7d2358df","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2001/2001",
"ad-hoc-checklist:taxon:182cd06b3cf0bff6264ccdf9e24e529e","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1975/2018",
"ad-hoc-checklist:taxon:18b2f02dcd779d8e2085acfa85c50b5a","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2001/2018","https://doi.org/10.1007/s10526-007-9137-6"
"ad-hoc-checklist:taxon:18b2f02dcd779d8e2085acfa85c50b5a","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2002/2018","https://doi.org/10.1007/s10526-007-9137-6"
"ad-hoc-checklist:taxon:18b2f02dcd779d8e2085acfa85c50b5a","ISO_3166-2:BE-BRU","Brussels-Capital Region","BE","present","introduced","2001/2018","https://doi.org/10.1007/s10526-007-9137-6"
"ad-hoc-checklist:taxon:1a1701c1dbfa27a1af766ed3b8f7784d","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2015/2017",
"ad-hoc-checklist:taxon:1bee34a7ed0507c7456f97170a71aa99","ISO_3166-2:BE","Belgium","BE","present","introduced","1900-09-22/1902-08-03",
"ad-hoc-checklist:taxon:1c20cabaa29faea71b9f75929aac0845","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:1d2fa2a26d2e4f9118634f81d15d1125","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:1e2fdc1e74fcbe63ca56d43eff00b665","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2011/2011",
"ad-hoc-checklist:taxon:212c736d5a41b81d9d69a87450d4adf2","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1968/2018",
"ad-hoc-checklist:taxon:2206c1b42a4e280779d590255498236f","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:2206c1b42a4e280779d590255498236f","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:250192366182796bbeb4678741309c34","ISO_3166-2:BE","Belgium","BE","present","introduced","2014-07-23/2018",
"ad-hoc-checklist:taxon:25238a6717a269593f78001217eaf1a2","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:263e28f52feb82c109aab9b2b1e10b13","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2004-03-16/2004-09-22",
"ad-hoc-checklist:taxon:263e28f52feb82c109aab9b2b1e10b13","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2004-09-07/2018",
"ad-hoc-checklist:taxon:266a6482d548a433c1904385a22dec9e","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:27d8964039678e21a18e6a3396b858e6","ISO_3166-2:BE","Belgium","BE","present","introduced","2014-09-18/2018",
"ad-hoc-checklist:taxon:281ac7002383de6f294383362080a01c","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2015/2017",
"ad-hoc-checklist:taxon:28a1bfcc17b3989029e39c009cee2efa","ISO_3166-2:BE","Belgium","BE","present","introduced","1968-11-21/2010-08-06",
"ad-hoc-checklist:taxon:28c14da33c805e8497409c28878f6989","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:2962ba6df4b60c64da97c14d439b1d05","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:29daf612f3571fa8009cfc178a54613d","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:2b517b632bce0ec1c7b42e3b735be92b","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:2e7291ca9523e1420596fe44cf512259","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1985/2018",
"ad-hoc-checklist:taxon:30f5e7fed36962242ca147c62a25d2c5","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1975/2018",
"ad-hoc-checklist:taxon:313b3ed4f7eaa5cfb097222e0c14a139","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1996/2018",
"ad-hoc-checklist:taxon:31ab93508fabfaf9696bd8ac49e121d2","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:31ab93508fabfaf9696bd8ac49e121d2","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:31e12d702c28ef0b797d3f39cfcab976","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2005/2018",
"ad-hoc-checklist:taxon:31ec1f83057764de57a2807437cdc2c7","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:33c2e7a6e8152e5d77f7475bf0b3a7a1","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:37885a337af00efc076376cf1343a4bd","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2015-02-05/2017-03-29",
"ad-hoc-checklist:taxon:3807924d235fa8bd18fe5b33a6d443e7","ISO_3166-2:BE","Belgium","BE","present","introduced","1980/2018",
"ad-hoc-checklist:taxon:39806b809b84dc016ff8fe58d2ba9f09","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2011/2012",
"ad-hoc-checklist:taxon:3cd9d674e6efc1419ca4ddcf6d3310cc","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2006/2017","http://www.hylawerkgroep.be/files/0048/hyla_flits_017_censuur.pdf"
"ad-hoc-checklist:taxon:3d231d6aede2e0b49cb4440bfba6cbfa","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2001/2001",
"ad-hoc-checklist:taxon:3dc038b673ba44a98b4b8bfe262ed2e4","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2014/2018",
"ad-hoc-checklist:taxon:3dcdd53f09b2fbd82a2139d4d5ea6f18","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2015-02-05/2018",
"ad-hoc-checklist:taxon:3e97a44950bd62d52d2239c25dbf5a36","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2004/2018",
"ad-hoc-checklist:taxon:3f3e6f15a42bf1a1a5f6393e899f08f6","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2003/2018",
"ad-hoc-checklist:taxon:407ef731b9da5c9d21c9ce33eb5236d3","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:40d7e559307e8c0d07adb7b9c74f6190","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2003/2018",
"ad-hoc-checklist:taxon:41326333ef8c22313ee5951840058ddc","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2001/2006",
"ad-hoc-checklist:taxon:419fa0b2d12adefbb640010c25c7ce7a","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2006/2018",
"ad-hoc-checklist:taxon:424025cedc8deb67c5583fce49d5c6a0","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2011/2018",
"ad-hoc-checklist:taxon:4274881799ce895ef56d3e0f8ae95bbc","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2012/2012",
"ad-hoc-checklist:taxon:447fdfc3a426263fd3a5cae03cb34204","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1956/2017",
