"taxonID","bibliographicCitation"
"ad-hoc-checklist:taxon:0030ea29e5c1ca033fbae652defa7585","Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging 25(3): 210-214."
"ad-hoc-checklist:taxon:024ab15f50739b793e17774229cda610","Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique."
"ad-hoc-checklist:taxon:0401971e5efc564db7f6141fdc2c0e9e","Baert, L. 1987. Ctenidae met bananen ingevoerd in België. Nieuwsbrief van de Belgische Arachnologische Vereniging, 2(1):34."
"ad-hoc-checklist:taxon:0456b9f01c551baee57c69773e09bb3c","Adriaens, T., and G. De Knijf. 2015. A first report of introduced non-native damselfly species (Zygoptera, Coenagrionidae) for Belgium. Belg. J. Zool 145:76-80."
"ad-hoc-checklist:taxon:093fe2efe8c2ffa5a41bbf1009bb2807","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:09a2e0b97a210cd1eea5183191b788c3","http://www.hylawerkgroep.be/files/0048/hyla_flits_017_censuur.pdf"
"ad-hoc-checklist:taxon:0a5e52ef41cb47fb06b0344f5be9bf3c","Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Verereniging,. 22(2):45-54."
"ad-hoc-checklist:taxon:0ad501c890258f06d6997b70515ccb28","Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique."
"ad-hoc-checklist:taxon:0b6ceb6e80f3bb59484ab7a6454e8aff","Chérot, F., Aukema,B., Bruers,J.& Viskens,G. (2011) Exotic species of Aradidae nad Miridae recently found in Antwerp harbour, bull KBVE 147: 15-19"
"ad-hoc-checklist:taxon:1014f2375f0bd0c05dea83978a00caf7","Schaffner F, Van Bortel W, Coosemans M. First record ofAedes (Stegomyia) albopictusin Belgium. J Am Mosq Control Assoc. 2004 Jun;20(2):201-3"
"ad-hoc-checklist:taxon:167dc8db81d231cb35982c239dc3e16f","Dozieres, A., Pisanu, B., Gerriet, O., Lapeyre, C., Stuyck, J. & Cha- ` puis, J.-L. (2010) Macroparasites of Pallas’s squirrels, Callosciurus erythraeus, introduced into Europe. Veterinary Parasitology, 172, 172–176."
"ad-hoc-checklist:taxon:1781ab184e6d425bc0e73d15cb986a2c","Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf"
"ad-hoc-checklist:taxon:1816c335ef2b6674cf46fa1c7d2358df","Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54."
"ad-hoc-checklist:taxon:182cd06b3cf0bff6264ccdf9e24e529e","Burny & Parent 1985 "
"ad-hoc-checklist:taxon:182cd06b3cf0bff6264ccdf9e24e529e"," Jooris 2002 "
"ad-hoc-checklist:taxon:18b2f02dcd779d8e2085acfa85c50b5a","Adriaens, T., E. Branquart, and D. Maes. 2003. The Multicoloured Asian Ladybird Harmonia axyridis Pallas (Coleoptera : Coccinellidae), a threat for native aphid predators in Belgium? Belgian Journal of Zoology 133:195-196. "
"ad-hoc-checklist:taxon:18b2f02dcd779d8e2085acfa85c50b5a"," Adriaens, T., G. M. Y. Gomez, and D. Maes. 2008. Invasion history, habitat preferences and phenology of the invasive ladybird Harmonia axyridis in Belgium. BioControl 53:69-88."
"ad-hoc-checklist:taxon:1bee34a7ed0507c7456f97170a71aa99","Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique."
"ad-hoc-checklist:taxon:1e2fdc1e74fcbe63ca56d43eff00b665","ARABEL exotendatabank (10/08/2018)"
"ad-hoc-checklist:taxon:250192366182796bbeb4678741309c34","Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique."
"ad-hoc-checklist:taxon:25238a6717a269593f78001217eaf1a2","Anonymus 2008"
"ad-hoc-checklist:taxon:263e28f52feb82c109aab9b2b1e10b13","Aukema B, Bruers JM, Viskens G (2005b) A New Zealand endemic Nysius established in the NL and BE (Heteroptera: Lygaeidae). Belgian Journal of Entomology 7: 37–43."
"ad-hoc-checklist:taxon:27d8964039678e21a18e6a3396b858e6","Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique."
"ad-hoc-checklist:taxon:281ac7002383de6f294383362080a01c","unpubl. observation"
"ad-hoc-checklist:taxon:28a1bfcc17b3989029e39c009cee2efa","Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique."
"ad-hoc-checklist:taxon:28c14da33c805e8497409c28878f6989","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:29daf612f3571fa8009cfc178a54613d","Steeman & Veraghtert 2011 Natuur.Focus"
"ad-hoc-checklist:taxon:2b517b632bce0ec1c7b42e3b735be92b","Verbeelen F (2008) Entomologische bijdragen. III. 1 bijdrage tot de keverfauna (Coleoptera) van Belgie. Exoten. Entomo-Info 19(4): 75."
"ad-hoc-checklist:taxon:30f5e7fed36962242ca147c62a25d2c5","Anonymus 2008"
"ad-hoc-checklist:taxon:313b3ed4f7eaa5cfb097222e0c14a139","Jooris 2001, 2005 "
"ad-hoc-checklist:taxon:313b3ed4f7eaa5cfb097222e0c14a139"," Adriaens et al. 2010 "
"ad-hoc-checklist:taxon:31e12d702c28ef0b797d3f39cfcab976","Casaer, J., Boone, N., Devisscher, S., Vercammen J., Adriaens T. (2015). Best practice voor beheer van Chinese muntjak Muntiacus reevesi in Vlaanderen. Rapporten van het Instituut voor Natuur- en Bosonderzoek 2015 (INBO.R.2015.7092003). Instituut voor Natuur- en Bosonderzoek, Brussel."
