"language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","taxonID","scientificName","kingdom","phylum","order","family","genus","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:64432319aeb1c56c7f337e0985555fbc","Amanita inopinata D.A. Reid & Bas","Fungi","Agaricomycetes","Agaricales","Amanitaceae","Amanita","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:af4279693fdd1add7a08a04dc97d7848","Potamothrix heuscheri (Bretscher, 1900)","Animalia","Annelida","Haplotaxida","Naididae","Potamothrix","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:0bcd26f38390fe99c643104b28217c02","Cryptachaea blattea (Urquhart, 1886)","Animalia","Arthropoda",,"Theridiidae","Cryptachaea","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:91d26c444cd8116edde2f0a64f553d5f","Artema atlanta Walckenaer, 1837","Animalia","Arthropoda",,"Pholcidae","Artema","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:4bdd5c000296901bd78781f759635b16","Brachypelma albopilosum Valerio, 1980","Animalia","Arthropoda",,"Theraphosidae","Brachypelma","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:1c60e51c85f9ab77fedde4e3e6141142","Cerbalus","Animalia","Arthropoda",,"Sparassidae","Cerbalus","genus","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:cdfc7a143e4d978cd4ca0c83d60fc43d","Chaetopelma olivaceum (C.L. Koch, 1841)","Animalia","Arthropoda",,"Theraphosidae","Chaetopelma","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:0cf152a392bb98b8dca84f219e8099f5","Cheiracanthium furculatum Karsch, 1879","Animalia","Arthropoda",,"Eutichuridae","Cheiracanthium","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:ee8cf5de4b7621cecee5bbf07496278a","Crossopriza lyoni (Blackwall, 1867)","Animalia","Arthropoda",,"Pholcidae","Crossopriza","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:c9e194d58f903091146e1893275a333c","Callobius nomeus (Chamberlin, 1919)","Animalia","Arthropoda",,"Amaurobiidae","Callobius","species","ICZN"
