scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
Amanita inopinata D.A. Reid & Bas,Fungi,,Agaricomycetes,Agaricales,Amanitaceae,Amanita,species,ICN,Flanders,BE,present,2008,2012,reproducing,,,New Zealand,terrestrial,"Fraiture A, Di Giangregorio M (2013) Amanita inopinata, its ecology and expansion in Europe. Cryptogamie, Mycology 34: 211-222. https://doi.org/10.7872/crym.v34.iss2.2013.211",rare,,,2018-04-24,Quentin Groom,
Amanita inopinata D.A. Reid & Bas,Fungi,,Agaricomycetes,Agaricales,Amanitaceae,Amanita,species,ICN,Wallonia,BE,present,2012,,reproducing,,,New Zealand,terrestrial,"Fraiture A, Di Giangregorio M (2013) Amanita inopinata, its ecology and expansion in Europe. Cryptogamie, Mycology 34: 211-222. https://doi.org/10.7872/crym.v34.iss2.2013.211",rare,,,2018-04-24,Quentin Groom,
Volvariella volvacea (Bull.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,species,,Flanders,BE,present,2018,,casual,agriculture,,Asia,,https://www.natuurpunt.be/nieuws/tropische-beurszwam-voor-het-eerst-belgi%C3%AB-20181027,,,,2018-10-27,Tim Adriaens,
"Potamothrix heuscheri (Bretscher, 1900)",Animalia,Annelida,,Haplotaxida,Naididae,Potamothrix,species,ICZN,Flanders,BE,present,,,established,,,,,Jan Soors pers comm,,,,2018-04-17,Tim Adriaens,
"Cryptachaea blattea (Urquhart, 1886)",Animalia,Arthropoda,Arachnida,,Theridiidae,Cryptachaea,species,ICZN,Flanders,BE,present,2002,2017,reproducing,,probably not viable outside the protected environment of heated greenhouses or other buildings,Africa,terrestrial,"Vanuytven, H. 2004. Achaearanea acoreensis (Berland, 1932), een zuiderse immigrant (Araneae, Theridiidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 19(3):85-86.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Artema atlanta Walckenaer, 1837",Animalia,Arthropoda,Arachnida,,Pholcidae,Artema,species,ICZN,Flanders,BE,present,2001,2001,transported,,,Northern Africa and Middle East,terrestrial,"Van Keer K. & Van Keer, J., 2001. Ingeburgerde exotische trilspinnen (Araneae: Pholcidae) in de Antwerpse haven en enkele algemene bedenkingen bij spinnenmigratie. Nieuwsbrief van de Belgische Arachnologische Vereniging, 16: 81-86.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Brachypelma albopilosum Valerio, 1980",Animalia,Arthropoda,Arachnida,,Theraphosidae,Brachypelma,species,ICZN,Flanders,BE,present,1986,1986,transported,stowaway_container,with banana shipment to port of Antwerp,Costa Rica,terrestrial,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Verereniging,. 22(2):45-54.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
Cerbalus,Animalia,Arthropoda,Arachnida,,Sparassidae,Cerbalus,genus,ICZN,Flanders,BE,present,2000,2000,casual,,In pitfall on dune slope with heather,,terrestrial,"Lambrechts, J. & Janssen, M. 2001. De arachnofauna van het Vlaams natuurreservaat 'Houterenberg-Pinnekenswijer'. Nieuwsbrief van de Belgische Arachnologische Vereniging, 13(3):87-100.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Chaetopelma olivaceum (C.L. Koch, 1841)",Animalia,Arthropoda,Arachnida,,Theraphosidae,Chaetopelma,species,ICZN,Flanders,BE,present,2011,2011,transported,contaminant_food,Amonst Mandora fruit from Cyprus in department store,"Cyprus, Turkey, Middle East, Egypt, Sudan",terrestrial,"Van Keer, K. 2011 Exotische spinnen in België. Een stand van zaken en recente trends. Natuur.focus, 10(3): 96-103.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Cheiracanthium furculatum Karsch, 1879",Animalia,Arthropoda,Arachnida,,Eutichuridae,Cheiracanthium,species,ICZN,Flanders,BE,present,2013,2013,transported,,"Amongst seedles grapes from South Africa, in a local supermarket","Cape Verde Is., Africa, Madagascar, Comoros",terrestrial,"Bosselaers, J., 2013. An alien in the grapes: a potentially agressive African spider imported into Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging, 28: 22-28.",rare,,,2018-08-10,Koen Van Keer,Koen Van Keer
