"country","continent","year","lifeExp","pop","gdpPercap","order"
"Algeria","Africa",1952,43.077,9279525,2449.0082,1
"Algeria","Africa",1957,45.685,10270856,3013.976,2
"Algeria","Africa",1962,48.303,11000948,2550.8169,3
"Algeria","Africa",1967,51.407,12760499,3246.9918,4
"Algeria","Africa",1972,54.518,14760787,4182.6638,5
"Algeria","Africa",1977,58.014,17152804,4910.4168,6
"Algeria","Africa",1982,61.368,20033753,5745.1602,7
"Algeria","Africa",1987,65.799,23254956,5681.3585,8
"Algeria","Africa",1992,67.744,26298373,5023.2166,9
"Algeria","Africa",1997,69.152,29072015,4797.2951,10
"Algeria","Africa",2002,70.994,31287142,5288.0404,11
"Algeria","Africa",2007,72.301,33333216,6223.3675,12
"Angola","Africa",1952,30.015,4232095,3520.6103,13
"Angola","Africa",1957,31.999,4561361,3827.9405,14
"Angola","Africa",1962,34,4826015,4269.2767,15
"Angola","Africa",1967,35.985,5247469,5522.7764,16
"Angola","Africa",1972,37.928,5894858,5473.288,17
"Angola","Africa",1977,39.483,6162675,3008.6474,18
"Angola","Africa",1982,39.942,7016384,2756.9537,19
"Angola","Africa",1987,39.906,7874230,2430.2083,20
"Angola","Africa",1992,40.647,8735988,2627.8457,21
"Angola","Africa",1997,40.963,9875024,2277.1409,22
"Angola","Africa",2002,41.003,10866106,2773.2873,23
"Angola","Africa",2007,42.731,12420476,4797.2313,24
"Benin","Africa",1952,38.223,1738315,1062.7522,25
"Benin","Africa",1957,40.358,1925173,959.6011,26
"Benin","Africa",1962,42.618,2151895,949.4991,27
"Benin","Africa",1967,44.885,2427334,1035.8314,28
"Benin","Africa",1972,47.014,2761407,1085.7969,29
"Benin","Africa",1977,49.19,3168267,1029.1613,30
"Benin","Africa",1982,50.904,3641603,1277.8976,31
"Benin","Africa",1987,52.337,4243788,1225.856,32
"Benin","Africa",1992,53.919,4981671,1191.2077,33
"Benin","Africa",1997,54.777,6066080,1232.9753,34
"Benin","Africa",2002,54.406,7026113,1372.8779,35
"Benin","Africa",2007,56.728,8078314,1441.2849,36
"Botswana","Africa",1952,47.622,442308,851.2411,37
"Botswana","Africa",1957,49.618,474639,918.2325,38
"Botswana","Africa",1962,51.52,512764,983.654,39
"Botswana","Africa",1967,53.298,553541,1214.7093,40
"Botswana","Africa",1972,56.024,619351,2263.6111,41
"Botswana","Africa",1977,59.319,781472,3214.8578,42
"Botswana","Africa",1982,61.484,970347,4551.1421,43
"Botswana","Africa",1987,63.622,1151184,6205.8839,44
"Botswana","Africa",1992,62.745,1342614,7954.1116,45
"Botswana","Africa",1997,52.556,1536536,8647.1423,46
"Botswana","Africa",2002,46.634,1630347,11003.6051,47
"Botswana","Africa",2007,50.728,1639131,12569.8518,48
"Burkina Faso","Africa",1952,31.975,4469979,543.2552,49
"Burkina Faso","Africa",1957,34.906,4713416,617.1835,50
"Burkina Faso","Africa",1962,37.814,4919632,722.512,51
"Burkina Faso","Africa",1967,40.697,5127935,794.8266,52
"Burkina Faso","Africa",1972,43.591,5433886,854.736,53
"Burkina Faso","Africa",1977,46.137,5889574,743.387,54
"Burkina Faso","Africa",1982,48.122,6634596,807.1986,55
